,0,1
Palo AltoCASan Mateo,37.4443293,-122.1598465
VacavilleCASolano,38.3565773,-121.9877444
RosevilleCAPlacer,38.7521235,-121.2880059
IsletonCASacramento,38.1618614,-121.6116206
LincolnCAPlacer,38.8915741,-121.29318
El DoradoCAEl Dorado,38.7574137,-120.5276129
Corte MaderaCAMarin,37.9254806,-122.5274755
San LeandroCAAlameda,37.7249296,-122.1560768
DanvilleCAContra Costa,37.8215929,-121.9999606
Los GatosCASanta Clara,37.226611,-121.9746797
Castro ValleyCAAlameda,37.6945519,-122.0857432
TracyCASan Joaquin,37.7396513,-121.4252227
StocktonCASan Joaquin,37.9577016,-121.2907796
WillitsCAMendocino,39.4096043,-123.3555602
Santa RosaCASonoma,38.4404925,-122.7141049
Los AltosCASanta Clara,37.3790629,-122.116578
RichmondCAContra Costa,37.9357576,-122.3477486
DixonCASolano,38.4454641,-121.8232958
NiceCALake,39.121271,-122.83560213628311
AntiochCAContra Costa,38.0049214,-121.805789
AngwinCANapa,38.5783555,-122.44865154545454
NewarkCAAlameda,37.5296593,-122.0402399
NovatoCAMarin,38.1061979,-122.5681191
BurlingameCASan Mateo,37.5841026,-122.3660825
SunolCAAlameda,37.5943781,-121.8885683
PlacervilleCAEl Dorado,38.7296252,-120.798546
FairfieldCASolano,38.2493581,-122.0399663
Scotts ValleyCASanta Cruz,37.0510595,-122.0146841
LindenCASan Joaquin,38.0213005,-121.10551382169648
Santa ClaraCASanta Clara,37.2333253,-121.6846349
San PabloCAContra Costa,37.9621457,-122.3455263
PinoleCAContra Costa,38.0043667,-122.2988587
Redwood CityCASan Mateo,37.4863239,-122.2325233
SalinasCAMonterey,36.6744117,-121.6550372
SoquelCASanta Cruz,36.992568000000006,-121.942859743031
MontereyCAMonterey,36.2231079,-121.3877428
FremontCAAlameda,37.5482697,-121.9885719
HerculesCAContra Costa,38.0171441,-122.2885808
SeasideCAMonterey,36.62593,-121.8169383456945
SaratogaCASanta Clara,37.2638324,-122.0230146
American CanyonCASolano,38.1749179,-122.2608044
WiltonCASacramento,38.4203098,-121.20636694174857
PittsburgCAContra Costa,38.0181745,-121.8901232
Grass ValleyCANevada,39.2190602,-121.0610575
Santa CruzCASanta Cruz,37.050096,-121.9905908
LodiCASan Joaquin,38.1301968,-121.2724473
SonomaCASonoma,38.5110803,-122.8473388
AuburnCAPlacer,38.8945939,-121.0739897
OrangevaleCASacramento,38.6840715,-121.21839903078865
EmeryvilleCAAlameda,37.8314089,-122.2865266
South San FranciscoCASan Mateo,37.6535403,-122.4168664
DavisCASolano,38.545379,-121.7445835
LathropCASan Joaquin,37.8227046,-121.27661
Cameron ParkCAEl Dorado,38.682001850000006,-120.98514424518402
San BrunoCASan Mateo,37.6261715,-122.4332435
ModestoCAStanislaus,37.6390972,-120.9968782
BerkeleyCAAlameda,37.8708393,-122.2728639
GilroyCASanta Clara,37.0065078,-121.5631723
EscalonCASan Joaquin,37.7974273,-120.9966033
ByronCAContra Costa,37.874063,-121.63465739329897
PenrynCAPlacer,38.8521217,-121.1693926
Citrus HeightsCASacramento,38.7071247,-121.2810611
El Dorado HillsCAEl Dorado,38.67716825,-121.06431968581433
El CerritoCAContra Costa,33.8410146,-117.52079778811958
Suisun CityCASolano,38.2382474,-122.040244
Los GatosCASanta Cruz,37.226611,-121.9746797
Fair OaksCASacramento,38.642897000000005,-121.24624532104002
NapaCANapa,38.2971367,-122.2855293
ColfaxCAPlacer,39.1007902,-120.9532947
RocklinCAPlacer,38.7907339,-121.2357828
MatherCASacramento,37.8821454,-119.8557341
Mill ValleyCAMarin,37.9060368,-122.5449763
San CarlosCASan Mateo,37.504936,-122.2618236
AptosCASanta Cruz,36.993645,-121.89194984597702
San RamonCAContra Costa,37.7648021,-121.9544387
WoodlandCAYolo,38.6786109,-121.7733285
LoomisCAPlacer,38.8212889,-121.1930041
FolsomCASacramento,38.6779591,-121.1760583
Walnut GroveCASan Joaquin,38.250307500000005,-121.50477362611842
PetalumaCAMarin,38.270022,-122.60612241304348
RodeoCAContra Costa,38.0339842,-122.2676656
San LorenzoCAAlameda,37.6810422,-122.1244088
SausalitoCAMarin,37.8590272,-122.4854694
Portola ValleyCASan Mateo,37.3736298,-122.219047
Pope ValleyCANapa,38.6151837,-122.427757
MantecaCASan Joaquin,37.7986184,-121.2117148
Daly CityCASan Mateo,37.6904826,-122.4726708
Mokelumne HillCACalaveras,38.3013435,-120.71114384392945
OccidentalCASonoma,38.4010855,-122.93126325128165
NewcastleCAPlacer,38.8740658,-121.1332806
GuernevilleCASonoma,38.5017085,-122.9959133
CalistogaCANapa,38.5787966,-122.5797054
GaltCASacramento,38.3012325,-121.33103724662058
CrockettCAContra Costa,38.0525612,-122.2202603
Glen EllenCASonoma,38.355533,-122.53907290000001
Rohnert ParkCASonoma,38.3396367,-122.7010984
JacksonCAAmador,38.3488024,-120.7741018
RiponCASan Joaquin,37.741595,-121.1243828
LafayetteCAContra Costa,37.8857582,-122.1180201
FultonCASonoma,38.4956949,-122.7700047
SebastopolCASonoma,38.3845125,-122.8332501583744
San QuentinCAMarin,37.9413133,-122.4849739
ForestvilleCASonoma,38.4833405,-122.86158427486583
HollisterCASan Benito,36.8524545,-121.4016021
West SacramentoCAYolo,38.5804609,-121.530234
Angels CampCACalaveras,38.0695732,-120.5405039
AcampoCASan Joaquin,38.1746398,-121.2785588
Valley SpringsCACalaveras,38.1847255,-120.80710393275619
DelhiCAMerced,37.434026,-120.77683829082781
Shingle SpringsCAEl Dorado,38.671386999999996,-120.94054470702578
IoneCAAmador,38.3526913,-120.9327177
YountvilleCANapa,38.4022008,-122.3595063
French CampCASan Joaquin,37.876290999999995,-121.2717439299314
Meadow VistaCAPlacer,39.0016485,-121.03567537915235
Penn ValleyCANevada,39.1948165,-121.19264637070282
San RafaelCAMarin,37.9735346,-122.5310874
HeraldCASacramento,38.2957474,-121.2443919
CastrovilleCAMonterey,36.7657904,-121.758005
CaminoCAEl Dorado,38.7382366,-120.6749302
Walnut GroveCASacramento,38.250307500000005,-121.50477362611842
The Sea RanchCASonoma,38.7149778,-123.455009
American CanyonCANapa,38.1749179,-122.2608044
Ben LomondCASanta Cruz,40.0021074,-121.3066332
Moss LandingCAMonterey,36.7988827,-121.7865811
AromasCAMonterey,36.87639955,-121.64300356090132
ElvertaCASacramento,38.713791,-121.4627326
SoledadCAMonterey,36.4671435,-121.33474018341452
Yuba CityCASutter,39.1404477,-121.6169108
HollisterCASanta Clara,36.8524545,-121.4016021
Dos PalosCAMerced,36.9860582,-120.6265722
AuburnCANevada,38.8945939,-121.0739897
SalidaCAStanislaus,37.7151375,-121.08667876282566
LucerneCALake,39.0742975,-122.80199566729121
AntelopeCASacramento,38.7082357,-121.3299513
Rio LindaCASacramento,38.6873975,-121.4593775259687
BeniciaCASolano,38.049365,-122.1585777
Lower LakeCALake,38.8975815,-122.61889653811882
WintersCAYolo,38.5249065,-121.9708017
OakdaleCAStanislaus,37.7564046,-120.79928025678466
TurlockCAStanislaus,37.4946568,-120.8465941
BelmontCASan Mateo,37.5164926,-122.2941914
Boulder CreekCASanta Cruz,37.1260578,-122.1221869
CarmelCAMonterey,38.75511285,-121.35330894827251
Mountain ViewCASanta Clara,37.3893889,-122.0832101
Royal OaksCASanta Cruz,38.66680225,-121.17230911159037
CalistogaCASonoma,38.5787966,-122.5797054
GaltCASan Joaquin,38.3012325,-121.33103724662058
ForesthillCAPlacer,39.0019935,-120.82540181422367
MendotaCAFresno,36.7535486,-120.3815579
KeyesCAStanislaus,37.56046275,-120.90723290143049
FirebaughCAFresno,36.8588376,-120.4560072
Monte RioCASonoma,38.466359,-123.01964563931804
CampbellCASanta Clara,37.2870626,-121.9448818
LarkspurCAMarin,37.9340915,-122.5352539
NicasioCAMarin,38.0615885,-122.6985975
Bodega BayCASonoma,38.273529,-123.0061118
VallejoCANapa,38.1040864,-122.2566367
BrentwoodCAContra Costa,37.9317766,-121.6960266
RichmondCAAlameda,37.9357576,-122.3477486
San GregorioCASan Mateo,37.3269168,-122.3865767
El SobranteCAContra Costa,37.9744635,-122.3057294030647
Travis AfbCASolano,38.26321985,-121.94536296461476
NewmanCAStanislaus,37.3139487,-121.0204222
KelseyvilleCALake,38.9779531,-122.8394375
Carmel ValleyCAMonterey,36.48290245,-121.71417288463448
MeridianCASutter,35.1074655,-118.9142669
LivermoreCASanta Clara,37.6820583,-121.7680531
CapitolaCASanta Cruz,36.9762927,-121.9540577
LakeportCALake,39.0429506,-122.9158293
RumseyCAYolo,38.8882322,-122.2374749
MiddletownCALake,38.7528585,-122.62419487634216
GeorgetownCAEl Dorado,38.9072855,-120.83023057045894
